Mortality,All cancers combined,2010,Persons,New South Wales,"14,132",197.8,171.9,226.9, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,Victoria,"10,569",193.5,171.8,226.8, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,Queensland,"7,878",178.9,173.9,229.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,Western Australia,"3,752",163.8,165.3,218.9, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,South Australia,"3,640",223.7,175.8,232.0, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,Tasmania,"1,172",230.3,185.4,243.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,Australian Capital Territory,470,135.0,157.6,208.4, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,Northern Territory,255,116.0,232.1,305.0, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2010,Persons,Australia,"41,846",189.9,172.1,227.3, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,New South Wales,"14,336",198.6,169.8,224.0, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,Victoria,"10,641",192.2,168.5,222.9, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,Queensland,"7,885",176.1,168.7,222.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,Western Australia,"3,780",160.6,160.2,212.2, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,South Australia,"3,471",211.7,164.6,216.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,Tasmania,"1,139",222.7,174.3,230.9, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,Australian Capital Territory,474,133.4,153.6,203.2, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,Northern Territory,261,116.6,226.2,297.1, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2011,Persons,Australia,"41,997",188.0,167.9,221.7, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,New South Wales,"14,376",196.8,165.9,219.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,Victoria,"10,720",189.7,164.4,218.3, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,Queensland,"8,244",180.4,170.9,225.9, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,Western Australia,"3,955",163.1,162.0,214.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,South Australia,"3,602",217.4,165.7,219.9, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,Tasmania,"1,187",232.0,178.9,235.1, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,Australian Capital Territory,474,131.0,149.0,197.8, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,Northern Territory,267,117.0,223.0,294.0, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2012,Persons,Australia,"42,868",188.6,166.4,220.4, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,New South Wales,"14,492",195.7,163.5,216.1, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,Victoria,"10,976",190.1,163.3,216.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,Queensland,"8,498",182.6,170.1,225.9, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,Western Australia,"3,925",157.8,156.2,206.4, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,South Australia,"3,627",217.0,164.4,216.8, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,Tasmania,"1,262",246.4,187.1,245.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,Australian Capital Territory,481,130.3,145.6,193.1, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,Northern Territory,281,120.7,226.7,298.8, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2013,Persons,Australia,"43,615",188.6,164.7,218.0, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2014,Persons,New South Wales,"14,455",192.5,159.3,210.5, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
Mortality,All cancers combined,2014,Persons,Victoria,"10,698",181.5,154.7,205.6, ,"C00–C96, D45, D46, D47.1, D47.3–D47.5"
